number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_prob,params_hidden_dim,params_learning_rate,params_num_layers,params_weight_decay,state
28,149.44577487090888,2024-11-17 17:44:29.588752,2024-11-17 17:50:50.484944,0 days 00:06:20.896192,64,0.3670916048807764,308,0.0004294505084132631,3,1.5734138112228885e-06,COMPLETE
29,213.35514610946663,2024-11-17 17:50:50.486946,2024-11-17 17:56:01.932633,0 days 00:05:11.445687,64,0.36709303590562414,333,0.00010799900590301998,1,0.008716045578644837,COMPLETE
30,155.75974015752072,2024-11-17 17:56:01.933634,2024-11-17 17:58:35.063027,0 days 00:02:33.129393,64,0.20531085416327582,432,0.0014895261340377548,2,0.0017942102087055618,COMPLETE
31,154.52379786378958,2024-11-17 17:58:35.064082,2024-11-17 18:05:05.241034,0 days 00:06:30.176952,64,0.306208642422218,298,0.0003927881245166178,3,1.8098267611327557e-06,COMPLETE
32,159.54867658339796,2024-11-17 18:05:05.243036,2024-11-17 18:11:00.188476,0 days 00:05:54.945440,64,0.4551493643088486,358,0.000642560501383955,3,1.071997607956901e-06,COMPLETE
33,160.95777389862852,2024-11-17 18:11:00.189431,2024-11-17 18:17:48.699525,0 days 00:06:48.510094,64,0.3546042358085141,328,0.0002336743548706124,3,1.1942768272904076e-05,COMPLETE
34,150.3694541384467,2024-11-17 18:17:48.701425,2024-11-17 18:23:55.098784,0 days 00:06:06.397359,64,0.2755979226887342,272,0.0005441773682600715,3,4.59100904330629e-06,COMPLETE
35,152.53170259641317,2024-11-17 18:23:55.100720,2024-11-17 18:30:00.128523,0 days 00:06:05.027803,32,0.246391294040115,186,0.000409611036401145,2,1.6919480602719953e-06,COMPLETE
36,192.97913143237324,2024-11-17 18:30:00.129545,2024-11-17 18:41:55.125025,0 days 00:11:54.995480,16,0.3912046034394274,230,0.00010134196543674292,3,0.0002704944183718727,COMPLETE
37,161.12760708542197,2024-11-17 18:41:55.126008,2024-11-17 18:44:36.943029,0 days 00:02:41.817021,32,0.4426717679159712,382,0.0012046854078762862,2,5.716813506177337e-05,COMPLETE
38,186.62003793593382,2024-11-17 18:44:36.945071,2024-11-17 18:47:37.450075,0 days 00:03:00.505004,64,0.488701819875034,119,0.0008477517413163541,3,7.061076329777291e-06,COMPLETE
39,153.75670033993822,2024-11-17 18:47:37.451075,2024-11-17 18:56:37.446190,0 days 00:08:59.995115,32,0.32040285298633653,476,0.00013389810916003675,2,2.7057231848795345e-06,COMPLETE
40,150.46954721965974,2024-11-17 18:56:37.448152,2024-11-17 19:00:29.984872,0 days 00:03:52.536720,64,0.13070563251420522,342,0.0007557471529741806,3,0.0002517161295524936,COMPLETE
41,149.1037797735215,2024-11-17 19:00:29.986822,2024-11-17 19:06:40.720513,0 days 00:06:10.733691,64,0.283197703733183,265,0.0005140604509069019,3,4.356643156861335e-06,COMPLETE
42,149.60203841930283,2024-11-17 19:06:40.721509,2024-11-17 19:12:49.797251,0 days 00:06:09.075742,64,0.1888989413822411,258,0.00036413951484861917,3,1.6981940177837813e-06,COMPLETE
43,153.82133836782612,2024-11-17 19:12:49.798255,2024-11-17 19:18:26.587426,0 days 00:05:36.789171,64,0.2222737261603332,253,0.00031235147001262695,3,6.8686979798772665e-06,COMPLETE
44,152.50986013831474,2024-11-17 19:18:26.588427,2024-11-17 19:23:50.986990,0 days 00:05:24.398563,64,0.2781019979484239,232,0.00045127974232982604,3,1.358564059732537e-06,COMPLETE
45,148.49267658138737,2024-11-17 19:23:50.988080,2024-11-17 19:29:54.221923,0 days 00:06:03.233843,64,0.18265215078951194,260,0.0006397944537089208,3,3.846781039299794e-06,COMPLETE
46,151.64403242838586,2024-11-17 19:29:54.222923,2024-11-17 19:33:50.724587,0 days 00:03:56.501664,64,0.39538417600930414,316,0.0006705781542744657,2,1.3660402334077822e-05,COMPLETE
47,159.19386509063162,2024-11-17 19:33:50.725586,2024-11-17 19:38:03.673065,0 days 00:04:12.947479,64,0.3090324420856008,283,0.0010911233409860892,3,5.065802849347749e-06,COMPLETE
48,165.07145385710626,2024-11-17 19:38:03.676068,2024-11-17 19:44:05.941636,0 days 00:06:02.265568,64,0.22811898221507723,207,0.0005894681696353629,1,6.387198834183285e-05,COMPLETE
49,254.8579080914855,2024-11-17 19:44:05.944640,2024-11-17 19:51:47.349470,0 days 00:07:41.404830,64,0.6222706260673984,180,0.0031604833721659625,3,0.004297074570043222,COMPLETE
